0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
-32.55155,-23.291353,-20.59669,-23.05053,-24.230955,-21.545813,-24.71467,-33.70976,-37.236042,-32.421047,-30.265245,-28.770382,-29.849648,-32.927742,-29.70004,-27.314625,-28.48758,-32.85562,-35.13513,-34.60385,-35.47287,-31.44812,-30.263355,-32.689247,-33.916706,-32.76906,-32.590034,-33.931118,-34.199306,-33.0855,-32.84795,-32.839287,-35.34575,-39.18258,-40.45344,-39.96627,-41.681396,-44.47362,-43.864937,-43.257805,-47.069225,-48.85158,-48.146976,-54.548122
-30.688587,-22.451405,-19.924625,-17.079664,-16.89507,-18.09719,-19.963737,-20.545374,-22.855244,-27.370743,-26.749111,-23.50641,-20.716719,-21.983341,-25.47593,-24.81931,-25.365673,-30.433113,-31.091496,-31.811596,-36.022957,-32.84037,-29.892105,-29.380348,-30.215336,-33.073895,-35.05006,-34.803608,-33.749104,-33.739376,-34.98029,-35.69252,-38.11108,-41.60627,-42.675564,-40.663986,-40.277874,-43.41402,-45.335106,-43.982155,-42.316437,-39.785435,-41.43214,-50.14009
-30.692223,-21.363426,-16.947067,-14.16907,-13.651684,-15.192374,-15.16487,-13.580036,-14.011581,-16.218061,-20.254944,-22.220861,-20.877033,-21.636272,-23.998226,-23.540482,-22.37821,-24.048834,-27.035618,-26.120468,-26.471111,-29.039627,-30.93235,-28.888119,-27.427658,-27.867496,-28.767977,-30.821625,-33.26672,-33.332054,-31.885536,-30.56649,-32.126053,-36.778683,-38.377583,-37.600014,-37.92768,-38.60453,-37.50073,-37.674988,-38.391037,-38.336372,-41.155087,-49.501453
-27.100584,-17.909569,-13.97136,-12.144768,-12.084196,-13.017817,-13.793141,-13.1158905,-11.928125,-12.409073,-15.127224,-17.567749,-16.889603,-16.008253,-16.583836,-18.27785,-22.644281,-24.896114,-26.82653,-27.929523,-26.739368,-27.75227,-28.717442,-29.245882,-30.209656,-30.067657,-30.161919,-31.301048,-32.20847,-32.55751,-33.194614,-32.44145,-33.200047,-35.685387,-36.00949,-36.554832,-38.30024,-39.675392,-39.03036,-39.43889,-40.24469,-38.27014,-38.92919,-45.955906
-23.306217,-14.682907,-12.588955,-13.842775,-15.921047,-16.180235,-14.500813,-14.213226,-14.713284,-14.580221,-14.919724,-14.552384,-14.984034,-19.526716,-20.707088,-23.830257,-28.132221,-26.934654,-25.872808,-24.312485,-24.316463,-24.783308,-26.563755,-29.531298,-31.03316,-29.269154,-26.629457,-28.209888,-31.616709,-35.265766,-38.997368,-35.219177,-33.348766,-35.160076,-34.850735,-35.302315,-34.569725,-35.5662,-37.11092,-37.072773,-38.278076,-38.237404,-39.72522,-48.06689
-32.506054,-25.106323,-22.89555,-22.175278,-22.491695,-25.582333,-28.389328,-28.450499,-26.419662,-25.415165,-25.966644,-26.892843,-28.141636,-27.17701,-24.320812,-24.803635,-27.829323,-31.592184,-30.190804,-30.916832,-35.540627,-37.48912,-36.13703,-36.858234,-38.9398,-40.848076,-39.837822,-41.096767,-43.218376,-45.036785,-44.64365,-45.494186,-45.915714,-44.606647,-45.051704,-46.701748,-46.206867,-45.73883,-45.939198,-46.529385,-45.99381,-46.37614,-49.36594,-55.444866
-25.094889,-18.357815,-17.345116,-13.392867,-11.4190855,-12.978277,-14.364931,-16.352669,-15.724671,-16.655792,-16.97056,-17.261679,-18.58543,-20.308706,-19.742558,-20.769209,-21.769691,-22.697315,-23.812443,-24.294748,-26.339151,-26.419617,-26.183,-28.461294,-29.149256,-28.712711,-28.03474,-30.375198,-34.849934,-36.49428,-36.27818,-38.072044,-37.332294,-38.543438,-39.094406,-39.20335,-36.877106,-36.008682,-36.17902,-38.148186,-36.62445,-36.99986,-40.987984,-47.907013
-20.536736,-11.343379,-9.012924,-11.548244,-13.488613,-12.3512945,-13.056198,-14.639554,-15.155822,-15.655242,-16.964876,-19.589817,-22.35732,-22.789429,-24.739563,-26.432404,-26.65627,-22.611444,-22.01505,-23.014141,-24.191784,-24.873001,-25.816246,-25.735966,-26.176014,-29.737034,-31.560555,-30.520401,-32.558636,-34.406227,-33.21944,-36.41573,-34.494545,-33.684578,-37.081127,-36.871986,-35.433296,-35.060577,-35.936302,-35.80122,-35.528744,-36.70656,-37.757603,-43.764977
-25.634708,-15.678666,-11.730543,-12.021894,-14.894448,-15.79163,-14.027584,-13.453239,-15.595128,-16.67334,-18.372791,-19.633673,-19.692482,-20.612692,-21.949139,-23.800877,-24.95111,-25.898514,-25.81237,-25.31583,-25.559492,-27.566769,-29.75034,-29.477413,-29.769344,-31.206236,-30.274927,-31.243877,-36.54361,-37.54896,-35.34514,-37.01141,-37.698647,-37.492504,-38.882908,-38.54,-39.871674,-39.80825,-38.36411,-37.620304,-37.78517,-37.375084,-39.31031,-46.732433
-24.757029,-15.193488,-11.396642,-11.457382,-14.106728,-15.613671,-15.162242,-15.299639,-16.577066,-17.08198,-18.304558,-18.801834,-19.005249,-18.656698,-19.707832,-23.051247,-24.511078,-25.28091,-26.058289,-25.721134,-27.252028,-28.003563,-27.809486,-29.429094,-30.166847,-30.489613,-28.814934,-29.666706,-34.933796,-37.21135,-35.14715,-35.372284,-36.92143,-36.533886,-36.489014,-36.964172,-38.529713,-38.343395,-37.269753,-36.58983,-36.457798,-35.41095,-37.97194,-46.795506
