MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-276.46838,-5.704727,41.08934,-30.03286,-68.608894,3.6806822,-34.89643,-2.3522787,-14.81447,-33.05775,-12.219405,-20.328001,-32.007465
-276.33044,-2.2624297,37.283466,-34.356693,-69.00451,3.9432266,-32.10633,-0.7082974,-18.031485,-35.029915,-10.743404,-22.277214,-31.88039
-278.96057,-0.17584473,38.779747,-35.6399,-69.62859,7.0828295,-31.830772,-4.345612,-15.602207,-32.644283,-10.535036,-20.561531,-30.009312
-277.46762,-1.3804985,38.523766,-37.096733,-72.81479,4.082144,-37.774323,-9.052393,-16.093395,-32.50832,-4.770468,-18.659185,-31.4332
-271.0116,1.2902249,37.86169,-39.629234,-71.84465,0.04706359,-40.816757,-7.5189743,-20.239004,-35.25495,-5.5807514,-21.620232,-28.683397
-277.11844,-2.6480994,40.743805,-36.03299,-70.01391,-1.8666964,-41.41383,-3.1837788,-20.088005,-36.027428,-11.456118,-23.500576,-25.255243
-276.75577,-1.0712103,46.482918,-28.955181,-67.79921,0.04896909,-41.97885,-0.54370797,-20.367374,-37.740517,-14.305923,-24.043312,-27.357676
-272.3104,1.84021,42.828434,-32.48783,-63.0418,4.6255383,-37.78344,-5.4714212,-19.195759,-34.20595,-11.722092,-26.554083,-28.696867
-275.19827,1.2790885,36.733406,-36.386166,-66.6219,7.6165915,-38.086357,-7.3470044,-16.514233,-33.260113,-10.597214,-21.71331,-31.06842
-279.6286,-0.79704344,36.506355,-34.866135,-66.23508,8.167792,-38.017006,-5.643352,-17.040651,-32.361416,-8.135782,-16.094252,-34.253075
-279.34225,1.9258707,38.266197,-33.102474,-67.75565,9.7108555,-36.851074,-4.329715,-17.54094,-32.595398,-8.241438,-18.169552,-34.067513
-279.99,-1.6832861,43.839226,-30.753849,-69.88412,4.641837,-39.99907,-5.8617077,-16.361763,-35.58644,-12.565514,-18.578367,-31.753769
-279.3191,-5.3200417,47.144333,-31.95388,-69.57579,-0.82481825,-42.506363,-6.400825,-17.610859,-36.574493,-14.874586,-18.844955,-27.157627
-277.54422,-1.5489109,43.842033,-36.155853,-69.72743,0.8662108,-37.77408,-2.7455144,-20.457336,-33.636314,-11.001306,-19.080725,-25.277271
-277.19333,2.7996678,38.390007,-36.8385,-68.65819,7.0010138,-33.800972,-1.233717,-20.043283,-32.61036,-11.4042425,-19.43998,-25.847536
-279.5914,2.993171,37.50741,-37.562737,-67.19246,13.100504,-34.77854,-8.746513,-19.505154,-33.121426,-16.297237,-18.877018,-25.239656
-281.50247,0.15548539,35.20401,-36.9001,-67.868095,12.958625,-38.496826,-10.254822,-14.718229,-29.559746,-15.183951,-14.693726,-28.54773
-280.7297,-2.3555987,40.56643,-36.017517,-71.05974,3.9998078,-40.039284,-9.171796,-14.052578,-29.228075,-11.622923,-18.147522,-27.442947
-281.8894,-3.086046,43.500877,-34.22843,-69.812294,-2.1360207,-40.811638,-1.8682098,-16.546505,-31.320427,-10.781174,-21.74506,-26.187187
-282.05542,-4.0368795,43.38472,-33.142246,-72.43326,-2.3854628,-40.393112,-0.9358004,-18.938301,-34.612625,-13.465907,-24.598648,-27.514532
-277.0275,-1.368937,41.575657,-35.18904,-69.65553,1.4877334,-41.86053,-5.56548,-17.065699,-34.85399,-12.622795,-26.774313,-31.486212
-280.52765,0.42598534,40.288826,-39.358364,-65.578514,11.446644,-37.353313,-9.837192,-13.674757,-35.837883,-16.567642,-25.044113,-32.238068
-282.18027,3.3731833,41.07258,-44.469994,-69.647736,11.5746765,-38.186428,-12.391911,-15.745039,-32.797173,-10.872796,-21.451649,-32.22204
-283.3354,1.0819676,38.925446,-42.26062,-71.7229,5.206386,-41.40525,-9.771666,-16.10175,-31.922308,-8.981033,-22.199276,-27.649366
-284.73846,-2.1343417,43.428596,-37.496597,-67.89731,2.496999,-39.877533,-5.8529887,-17.56489,-32.659843,-14.071484,-21.86593,-25.659126
-285.48666,0.05850109,43.909706,-34.02323,-66.03769,4.5500827,-37.354454,-1.8692698,-18.402206,-32.467026,-14.030701,-19.877922,-24.00288
-285.158,-0.06875253,39.596176,-36.17946,-67.43147,3.6504188,-36.709892,-0.1261405,-19.2589,-34.47935,-12.011436,-20.485683,-24.72676
-281.22745,1.1886536,38.264404,-38.25664,-70.463425,3.4667773,-37.84601,-6.1479807,-21.180408,-37.65859,-13.966792,-21.585117,-27.823696
-276.4028,6.373907,43.661583,-39.29026,-78.31311,4.659937,-38.86238,-9.120726,-18.395462,-35.124195,-15.655409,-21.66338,-29.4142
-278.3749,2.2439513,42.275173,-38.053562,-76.7311,2.847866,-38.916367,-11.315118,-17.803207,-29.104343,-9.190542,-23.939894,-31.534344
-276.2222,0.95627683,41.153347,-37.35348,-72.850555,1.1248863,-40.191643,-6.38922,-20.072495,-32.255623,-9.77255,-26.217178,-28.650177
-273.1611,3.773633,43.141563,-38.458588,-72.01723,-3.0057929,-42.219337,-4.450539,-20.055843,-36.14814,-11.907005,-27.435396,-28.09414
-269.93942,7.935094,45.24946,-38.785484,-73.761154,-3.567855,-44.56472,-0.22997603,-16.968811,-37.520523,-14.154653,-23.447615,-27.284046
-273.4078,1.93951,38.958374,-36.952873,-67.719666,3.555273,-37.329605,-0.58414686,-15.627893,-34.970642,-12.837139,-23.021566,-28.462887
-279.84418,3.3276763,36.844776,-39.79026,-72.61083,8.478757,-33.754993,-7.854981,-17.151066,-30.341564,-13.593071,-18.582222,-27.591202
-282.28265,0.553539,36.120964,-37.983635,-70.57745,10.116519,-35.32412,-11.10639,-18.898394,-27.71631,-12.824849,-21.188965,-31.440107
-278.73032,-0.047927618,37.782116,-37.64425,-74.16832,1.4518917,-39.5968,-7.863956,-20.53746,-32.634315,-12.342287,-24.824883,-30.49303
-276.74802,1.8780353,44.674774,-37.317787,-76.66237,-7.568937,-46.03875,-2.9862492,-19.613274,-34.50115,-12.298816,-23.251282,-30.344692
-279.79486,-3.2968216,47.696495,-32.16255,-75.251076,-3.75452,-43.779327,-4.7886586,-16.02913,-35.263474,-15.360589,-21.740772,-29.626595
-271.42865,5.391685,47.697777,-35.99723,-78.20253,0.7568804,-39.48136,-2.9610226,-16.133715,-38.251877,-18.562832,-25.794962,-33.69549
