MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Delta9,Delta10,Delta11,Delta12,Delta13,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12
0.6014617,1.1257886,-0.21685714,-1.6510698,-1.6614764,-0.036873937,-0.5250576,-0.7800861,-0.7451712,0.16778965,-0.33404168,-0.6759877,-0.8556829,0.5761434,1.0915287,-0.7821882,-1.3024272,-1.4978822,-0.34900448,0.3608485,0.6485736,0.07639147,0.75531256,0.5813661,0.311224,-0.09666196,-0.9942051,-0.5389116,-0.2840632,-0.46657723,-0.41017157,-0.26201364,-0.35548624,0.9655685,-1.1914266,-0.8263514,-1.0559915,-0.9672309
0.8760979,1.5232801,-0.5991229,-1.5890737,-1.9643081,-0.030897576,0.24525623,-0.26277903,-0.43295673,0.44953045,-0.2912283,-1.147528,-0.6602358,0.39584798,0.97029954,-0.41483277,-1.2448925,-1.1563013,-0.6980585,0.4053047,0.7953336,0.08244616,0.9011241,0.8523669,0.2780587,0.06072047,-1.3104583,-1.0779953,-0.9552537,-1.0065411,-0.99792165,-1.1852589,-0.45785663,0.9655685,-1.2165442,-0.50876373,-0.88125736,-1.2465024
0.809028,1.4433522,-0.79407287,-1.370577,-1.469706,-0.15900035,0.78251547,0.87707597,0.08371026,1.1529846,0.53568864,-0.46877068,-0.3874773,0.057760734,0.71784174,-0.017280232,-0.93794197,-0.54498804,-0.83368564,0.66014993,0.8351472,0.11148455,0.87257963,1.3936726,0.22398232,0.215398,-1.3582474,-1.1710224,-0.9672636,-0.8906919,-1.1296816,-1.0217932,1.3442309,0.5769498,-1.2334971,-0.6051103,-0.94873863,-1.2466692
0.6035107,1.2046155,-0.48728102,-1.0156305,-1.0903298,-0.4693224,0.501277,1.2928221,-0.41375196,1.4366407,0.45999992,-0.11437189,-0.19634883,-0.32306784,0.25117132,0.27422482,-0.23573135,0.13046838,-0.66284835,0.86118305,0.9139959,0.4595318,0.35790995,1.304105,-0.054802153,0.640921,-1.4087489,-1.3430719,-1.2638848,-1.2354476,-1.4351542,-1.0726458,1.3442309,-1.4590871,-1.764001,-2.0473492,-1.7102726,-1.5356581
0.40093413,1.011519,0.014054368,-0.9215858,-1.1904713,-0.87525773,0.09583609,1.3652872,-0.5852771,0.5960641,0.456217,-0.57327896,0.21714093,-0.6491089,-0.4259781,0.46753746,0.46826905,0.70549214,-0.5820732,0.5109702,0.9323053,0.9856266,-0.52844864,0.5515229,-0.2845653,0.9746222,-1.1353838,-1.1782323,-0.8987746,-0.85309726,-1.2115908,-0.44861335,1.3442309,0.32340765,-1.2310033,-1.79926,-1.4682963,-1.163099
0.20214315,0.9420268,-0.06411626,-1.2756348,-1.1411043,-1.35421,-0.026927445,1.1127827,0.44455597,0.5765776,0.65327775,-0.2921866,0.84258574,-0.68380886,-0.5996645,0.6817545,0.55066675,0.8661984,-0.22472602,-0.019814529,0.14530708,0.69738126,-0.85932314,0.069331504,-0.33551136,0.088126175,-1.2457554,-1.0543872,-1.0821551,-1.1858555,-1.3317579,-1.1254914,1.3442309,0.08236769,-1.5250118,-2.024646,-1.6767604,-1.3646091
0.014341635,0.97533345,0.047339216,-1.2296962,-1.0267878,-1.3772445,0.45962033,0.90195566,0.31620842,0.6950813,0.9424827,-0.7543686,0.3968811,-0.50127876,-0.64765245,0.7254319,0.69540024,0.7863589,0.35625955,-0.3962566,-0.5560923,0.29208407,-0.96921307,-0.39409015,-0.10176243,-0.3594577,-1.1908432,-1.0026202,-1.0752224,-1.2487075,-0.84001786,0.1818881,1.3442309,-0.61345524,-1.5809029,-2.0466595,-1.5134933,-1.3176775
-0.007341013,1.0187153,0.10524295,-1.0698792,-0.9514808,-0.6981046,1.0012808,1.376752,0.46581164,-0.26693767,0.19808863,-1.3082095,0.12629531,-0.2804961,-0.822689,0.53351146,0.94322777,0.79978627,0.8454055,-0.5260919,-0.85776114,0.17548363,-0.7662829,-0.6570125,0.53015035,-0.46699762,-1.423108,-1.1447376,-1.1773065,-1.2981745,-0.21413442,2.121094,-0.6989639,-1.7018826,-1.4922383,-1.2981601,-1.1645283,-1.4061959
-0.008262457,0.9210587,0.17567155,-0.8705195,-0.8976642,-0.9703211,0.52914196,1.4273036,0.8465695,-0.56321496,0.43185934,-0.83957434,-0.013730438,-0.12319718,-1.1871791,0.21602824,1.2714332,0.887406,1.1140083,-0.65291154,-0.90611255,0.27931303,-0.23651147,-0.8219183,0.8149366,-0.523842,-1.2937186,-0.9863431,-1.0793823,-1.0253799,-0.13545655,1.7292339,1.3442309,-0.7367224,-0.87628746,-0.24123433,-0.89965177,-1.4103433
0.028530318,0.7731805,0.4199691,-0.47230643,-0.39432845,-0.09634953,-0.047416665,-0.12560706,0.10229731,-0.17527677,0.1332888,-0.83001304,-0.8564336,-0.04797594,-1.5457654,0.03895328,1.6285969,0.9529925,1.073318,-0.93028456,-0.8772128,0.34789297,0.1662646,-0.900589,0.60368186,-0.47017753,-1.2638171,-1.1245469,-1.0096341,-0.8402359,-0.82867134,-1.0164548,0.36583757,0.9655685,0.4957463,-0.9935415,-1.4746375,-1.4508832
